id_wycieczki,id_osoby,data_platnosci,ocena
2,349,2023-06-19,2.0
2,464,2023-05-05,
2,389,2023-06-18,
2,28,2023-05-28,4.0
2,310,2023-05-12,
2,243,2023-05-17,1.0
2,137,2023-05-29,2.0
2,143,2023-05-24,4.0
2,287,2023-05-13,
2,452,2023-06-05,5.0
2,483,2023-05-25,2.0
2,411,2023-05-12,5.0
3,497,2023-06-05,3.0
3,143,2023-06-16,4.0
3,11,2023-06-20,5.0
3,46,2023-05-29,5.0
3,43,2023-05-18,5.0
3,294,2023-05-17,4.0
3,196,2023-05-18,2.0
3,264,2023-06-14,5.0
3,81,2023-05-25,
3,36,2023-05-08,5.0
3,238,2023-05-09,2.0
3,261,2023-05-15,5.0
3,216,2023-06-14,5.0
3,320,2023-06-05,
3,90,2023-05-22,4.0
3,489,2023-05-11,5.0
3,498,2023-06-09,1.0
3,258,2023-06-03,2.0
3,138,2023-06-03,3.0
3,170,2023-05-28,3.0
3,195,2023-05-08,
3,372,2023-05-11,2.0
3,290,2023-05-27,
3,109,2023-06-09,
3,94,2023-05-25,5.0
3,119,2023-05-07,5.0
3,53,2023-05-19,5.0
3,433,2023-06-16,1.0
3,311,2023-05-17,3.0
3,87,2023-06-13,5.0
3,380,2023-05-13,5.0
3,296,2023-05-22,5.0
3,437,2023-05-19,
3,178,2023-05-23,2.0
3,172,2023-06-09,3.0
3,492,2023-05-31,5.0
3,472,2023-06-06,3.0
3,395,2023-05-25,5.0
3,125,2023-06-08,4.0
3,22,2023-06-17,4.0
3,352,2023-06-06,5.0
3,245,2023-05-29,
3,160,2023-06-13,4.0
3,127,2023-05-09,
3,496,2023-05-11,3.0
3,41,2023-06-16,
3,17,2023-06-03,4.0
3,167,2023-05-30,5.0
3,23,2023-05-16,5.0
3,220,2023-06-16,3.0
4,41,2023-05-18,5.0
4,356,2023-05-14,5.0
4,296,2023-05-16,
4,62,2023-06-08,4.0
4,104,2023-05-12,1.0
4,21,2023-05-15,5.0
4,128,2023-06-18,5.0
4,142,2023-05-19,4.0
4,283,2023-06-13,
4,36,2023-05-29,4.0
4,173,2023-05-12,
4,130,2023-06-16,5.0
4,401,2023-05-24,5.0
4,145,2023-06-05,4.0
4,252,2023-06-10,4.0
4,433,2023-06-03,
4,215,2023-06-17,
4,165,2023-05-28,
4,161,2023-05-31,
4,446,2023-06-23,3.0
4,121,2023-06-14,5.0
4,390,2023-06-19,5.0
4,255,2023-05-21,5.0
4,364,2023-06-12,5.0
4,204,2023-06-25,5.0
4,15,2023-06-06,
4,437,2023-06-11,5.0
4,114,2023-05-19,3.0
4,305,2023-06-12,5.0
4,271,2023-06-12,4.0
4,358,2023-06-06,4.0
4,254,2023-06-02,5.0
4,9,2023-06-21,5.0
4,46,2023-06-05,5.0
4,118,2023-05-14,
4,134,2023-06-12,5.0
4,345,2023-06-17,5.0
4,298,2023-05-15,2.0
4,127,2023-05-24,5.0
4,372,2023-05-31,5.0
5,477,2023-06-09,5.0
5,207,2023-05-27,5.0
5,53,2023-05-27,5.0
5,435,2023-05-26,
5,98,2023-05-16,1.0
5,136,2023-06-02,
5,499,2023-06-26,
5,153,2023-06-03,
5,210,2023-05-22,3.0
5,181,2023-06-22,5.0
5,55,2023-06-23,3.0
5,182,2023-05-20,2.0
5,198,2023-06-18,5.0
5,420,2023-06-21,4.0
5,270,2023-06-09,5.0
5,350,2023-05-19,
5,86,2023-06-01,
5,94,2023-05-21,
5,307,2023-05-22,3.0
5,106,2023-05-17,5.0
5,469,2023-05-23,5.0
5,465,2023-06-12,5.0
5,455,2023-06-19,
5,2,2023-05-28,4.0
5,470,2023-06-26,
5,400,2023-05-30,3.0
5,418,2023-06-15,5.0
5,107,2023-05-15,2.0
5,472,2023-05-18,2.0
5,306,2023-06-10,2.0
5,262,2023-05-31,2.0
5,60,2023-05-28,1.0
5,294,2023-06-18,
5,192,2023-05-21,2.0
5,123,2023-05-24,4.0
5,230,2023-05-27,
5,405,2023-05-20,
5,457,2023-06-13,2.0
5,29,2023-06-09,4.0
5,490,2023-05-23,
5,467,2023-06-07,
6,339,2023-06-25,1.0
6,142,2023-06-03,
6,430,2023-05-17,5.0
6,272,2023-06-23,5.0
6,65,2023-06-20,2.0
6,171,2023-06-16,2.0
6,431,2023-06-04,5.0
6,35,2023-05-17,4.0
6,364,2023-05-31,4.0
6,24,2023-06-13,5.0
6,56,2023-05-13,2.0
6,30,2023-06-06,
6,132,2023-06-21,3.0
6,487,2023-06-13,5.0
6,469,2023-06-27,3.0
6,278,2023-06-23,5.0
6,175,2023-05-17,2.0
6,267,2023-06-24,5.0
6,461,2023-06-03,
6,108,2023-05-31,4.0
6,28,2023-06-03,5.0
6,45,2023-05-23,4.0
6,397,2023-06-06,5.0
6,417,2023-06-23,
6,501,2023-05-28,
6,191,2023-05-13,
6,9,2023-06-07,5.0
6,419,2023-06-16,4.0
6,73,2023-05-13,
6,482,2023-06-24,5.0
6,81,2023-06-21,5.0
6,41,2023-05-21,
6,309,2023-06-15,4.0
6,163,2023-06-26,2.0
6,355,2023-06-22,5.0
6,448,2023-05-26,5.0
6,404,2023-06-09,2.0
6,91,2023-06-01,3.0
6,199,2023-05-26,2.0
7,195,2023-05-28,
7,452,2023-06-05,
7,220,2023-06-19,5.0
7,470,2023-06-25,2.0
7,154,2023-06-21,5.0
7,260,2023-06-23,4.0
7,473,2023-05-18,3.0
7,69,2023-06-21,5.0
7,62,2023-06-27,5.0
7,215,2023-06-18,5.0
7,144,2023-06-18,5.0
7,400,2023-06-23,
7,297,2023-05-16,4.0
7,413,2023-06-01,4.0
7,28,2023-05-29,4.0
7,225,2023-06-29,3.0
7,137,2023-06-29,
7,38,2023-05-24,4.0
7,146,2023-06-11,
7,231,2023-06-18,5.0
7,67,2023-06-14,2.0
7,191,2023-06-04,5.0
7,8,2023-06-19,5.0
7,210,2023-05-24,5.0
7,114,2023-05-16,5.0
7,382,2023-05-29,5.0
7,327,2023-06-24,4.0
7,252,2023-06-18,2.0
7,22,2023-06-11,
7,399,2023-06-13,5.0
7,486,2023-06-25,5.0
7,478,2023-06-25,1.0
7,396,2023-06-03,2.0
7,378,2023-06-07,
7,326,2023-06-22,2.0
8,47,2023-06-29,5.0
8,149,2023-05-20,
8,118,2023-06-20,5.0
8,32,2023-06-05,3.0
8,368,2023-06-24,
8,365,2023-06-18,5.0
8,432,2023-06-08,2.0
8,24,2023-05-25,3.0
8,342,2023-06-28,5.0
8,490,2023-05-29,4.0
8,313,2023-06-15,5.0
8,4,2023-06-24,
8,197,2023-06-18,4.0
8,464,2023-06-27,5.0
8,110,2023-05-26,2.0
8,317,2023-06-13,5.0
8,7,2023-05-30,
8,402,2023-06-04,4.0
8,39,2023-06-19,5.0
8,298,2023-06-05,1.0
8,201,2023-06-02,
8,478,2023-06-29,5.0
8,99,2023-05-31,4.0
8,292,2023-05-20,5.0
8,400,2023-06-08,
8,55,2023-06-25,
8,248,2023-06-23,2.0
8,3,2023-06-04,5.0
8,311,2023-06-29,5.0
8,147,2023-05-18,5.0
8,392,2023-06-16,4.0
8,425,2023-06-03,
8,416,2023-06-30,4.0
8,210,2023-06-14,4.0
8,91,2023-05-22,1.0
8,359,2023-05-28,5.0
8,260,2023-06-07,5.0
8,353,2023-06-03,
8,138,2023-06-12,2.0
8,301,2023-06-23,5.0
8,407,2023-06-14,5.0
8,456,2023-06-14,5.0
8,12,2023-06-19,
8,427,2023-05-24,1.0
8,268,2023-06-26,5.0
8,465,2023-06-05,
9,36,2023-06-07,
9,150,2023-06-29,
9,132,2023-07-05,5.0
9,413,2023-06-12,5.0
9,464,2023-06-09,5.0
9,356,2023-06-22,5.0
9,348,2023-06-03,5.0
9,235,2023-05-21,5.0
9,148,2023-06-13,5.0
9,491,2023-06-25,
9,404,2023-06-06,2.0
9,130,2023-06-18,5.0
9,325,2023-07-03,4.0
9,447,2023-06-19,3.0
9,260,2023-06-01,3.0
9,115,2023-05-25,
9,266,2023-06-26,4.0
9,116,2023-06-04,2.0
9,217,2023-05-26,3.0
9,169,2023-06-18,
9,192,2023-07-02,5.0
9,492,2023-06-07,5.0
9,146,2023-06-01,
9,248,2023-06-13,
9,233,2023-06-25,3.0
9,270,2023-06-13,
9,286,2023-06-18,4.0
9,13,2023-05-30,
9,314,2023-07-02,5.0
9,183,2023-06-16,5.0
9,81,2023-06-22,2.0
9,265,2023-06-13,2.0
9,268,2023-07-01,5.0
9,35,2023-05-29,
9,454,2023-06-20,3.0
10,292,2023-05-25,4.0
10,328,2023-06-17,4.0
10,397,2023-05-28,
10,104,2023-05-30,
10,322,2023-06-18,4.0
10,376,2023-05-30,5.0
10,454,2023-05-23,2.0
10,7,2023-06-06,5.0
10,272,2023-06-13,
10,164,2023-06-08,4.0
10,182,2023-06-28,4.0
10,337,2023-07-05,5.0
10,46,2023-06-16,5.0
10,31,2023-07-02,5.0
10,475,2023-06-07,5.0
10,274,2023-06-04,3.0
10,314,2023-06-11,5.0
10,103,2023-05-31,4.0
10,82,2023-05-27,5.0
10,129,2023-06-21,3.0
10,309,2023-06-24,5.0
10,408,2023-05-27,5.0
10,203,2023-05-24,
10,148,2023-07-05,
10,361,2023-06-04,
10,110,2023-06-12,4.0
10,369,2023-06-24,5.0
10,265,2023-05-27,5.0
10,56,2023-06-27,4.0
10,216,2023-06-13,5.0
10,169,2023-06-30,
10,489,2023-06-09,4.0
10,267,2023-05-24,5.0
10,357,2023-06-14,1.0
10,16,2023-07-03,5.0
10,20,2023-06-09,
10,57,2023-06-22,
10,307,2023-06-08,4.0
10,412,2023-05-22,
11,350,2023-06-25,
11,452,2023-06-24,3.0
11,349,2023-05-28,5.0
11,19,2023-06-18,
11,22,2023-06-11,4.0
11,37,2023-06-24,4.0
11,343,2023-05-31,5.0
11,25,2023-07-01,4.0
11,437,2023-05-31,4.0
11,148,2023-07-05,
11,448,2023-06-20,4.0
11,49,2023-06-01,4.0
11,195,2023-06-16,4.0
11,457,2023-06-20,1.0
11,307,2023-06-07,3.0
11,231,2023-06-26,5.0
11,255,2023-06-11,
11,135,2023-06-09,
11,203,2023-06-27,2.0
11,137,2023-06-27,5.0
11,79,2023-06-10,5.0
11,18,2023-07-03,4.0
11,334,2023-06-05,
11,184,2023-05-31,3.0
11,172,2023-05-30,5.0
11,66,2023-06-11,3.0
11,111,2023-07-01,5.0
11,115,2023-07-06,
11,45,2023-06-08,5.0
11,147,2023-07-04,2.0
11,371,2023-06-11,5.0
11,4,2023-06-07,5.0
11,361,2023-06-14,5.0
11,433,2023-06-06,5.0
11,118,2023-06-22,
11,472,2023-07-06,5.0
11,470,2023-07-05,5.0
11,91,2023-07-03,4.0
11,344,2023-06-19,3.0
11,239,2023-06-18,4.0
11,500,2023-07-02,
11,368,2023-05-29,5.0
11,345,2023-05-27,2.0
11,157,2023-06-07,5.0
11,86,2023-06-08,4.0
11,131,2023-06-24,5.0
11,404,2023-06-09,5.0
11,327,2023-05-26,
11,119,2023-06-03,5.0
11,421,2023-06-14,
12,407,2023-07-09,3.0
12,118,2023-05-30,
12,433,2023-07-01,
12,202,2023-06-02,3.0
12,403,2023-06-10,5.0
12,77,2023-06-12,2.0
12,469,2023-06-05,
12,7,2023-06-25,4.0
12,214,2023-06-02,2.0
12,107,2023-06-16,5.0
12,225,2023-06-12,3.0
12,285,2023-07-01,
12,394,2023-06-20,5.0
12,487,2023-07-05,5.0
12,381,2023-06-02,2.0
12,340,2023-06-24,3.0
12,215,2023-06-28,5.0
12,189,2023-06-03,
12,488,2023-06-28,5.0
12,6,2023-07-05,5.0
12,84,2023-06-06,5.0
12,413,2023-06-08,4.0
12,305,2023-06-22,5.0
12,247,2023-06-02,1.0
12,357,2023-06-14,1.0
12,239,2023-06-13,4.0
12,490,2023-06-11,4.0
12,135,2023-06-05,4.0
12,261,2023-06-28,5.0
12,86,2023-06-28,
12,414,2023-07-02,4.0
12,320,2023-06-23,1.0
12,349,2023-06-16,4.0
12,153,2023-05-26,
12,62,2023-06-19,2.0
12,106,2023-06-30,
12,441,2023-06-06,2.0
12,146,2023-06-30,3.0
12,11,2023-06-13,3.0
12,235,2023-06-08,
12,350,2023-05-31,
12,95,2023-05-27,1.0
12,32,2023-06-26,1.0
12,151,2023-05-26,1.0
12,432,2023-07-05,5.0
12,405,2023-06-18,4.0
12,30,2023-06-02,
12,260,2023-06-22,5.0
13,2,2023-07-07,2.0
13,83,2023-07-07,3.0
13,298,2023-06-19,4.0
13,324,2023-06-07,1.0
13,98,2023-07-12,1.0
13,151,2023-07-04,5.0
13,462,2023-07-11,2.0
13,232,2023-06-20,5.0
13,476,2023-06-16,1.0
13,510,2023-07-10,4.0
13,347,2023-06-23,
13,293,2023-06-28,
13,50,2023-06-11,
13,440,2023-06-29,2.0
13,236,2023-06-14,5.0
13,459,2023-07-07,5.0
13,276,2023-06-04,5.0
13,250,2023-07-06,
13,211,2023-06-16,5.0
13,217,2023-05-28,3.0
13,424,2023-07-02,5.0
13,140,2023-07-08,5.0
13,97,2023-06-10,
13,223,2023-07-12,
13,76,2023-06-16,4.0
13,142,2023-06-26,
13,233,2023-06-24,4.0
13,496,2023-07-02,2.0
13,166,2023-06-09,4.0
13,180,2023-06-23,2.0
13,437,2023-06-21,5.0
13,417,2023-05-31,1.0
13,455,2023-06-04,
13,312,2023-07-12,3.0
13,473,2023-06-09,5.0
13,120,2023-05-28,2.0
13,409,2023-05-31,3.0
13,188,2023-07-09,5.0
13,404,2023-07-01,5.0
13,1,2023-06-12,
13,220,2023-07-10,
13,154,2023-05-29,4.0
13,138,2023-06-23,4.0
13,150,2023-06-28,5.0
13,320,2023-06-20,5.0
13,79,2023-06-11,5.0
13,56,2023-06-15,5.0
13,477,2023-06-28,
13,48,2023-07-06,3.0
14,120,2023-08-01,
14,364,2023-07-04,5.0
14,437,2023-07-11,4.0
14,473,2023-07-06,5.0
14,80,2023-07-28,5.0
14,507,2023-07-10,
14,283,2023-06-20,5.0
14,348,2023-07-30,
14,137,2023-07-23,5.0
14,380,2023-07-19,3.0
14,178,2023-07-31,5.0
14,126,2023-07-20,5.0
14,230,2023-07-19,
14,374,2023-07-18,2.0
14,190,2023-07-04,2.0
14,151,2023-07-29,
14,399,2023-07-03,5.0
14,46,2023-06-17,5.0
14,471,2023-06-26,4.0
14,285,2023-07-25,5.0
14,148,2023-06-29,4.0
14,112,2023-07-02,2.0
14,246,2023-06-20,4.0
14,385,2023-07-03,5.0
14,408,2023-06-24,4.0
14,412,2023-07-28,4.0
14,132,2023-07-20,
14,102,2023-06-24,5.0
14,241,2023-06-25,
14,403,2023-07-13,4.0
14,425,2023-06-21,
14,217,2023-06-29,4.0
14,276,2023-07-26,5.0
14,323,2023-07-06,5.0
14,307,2023-07-11,5.0
14,155,2023-07-22,2.0
14,366,2023-06-25,5.0
14,117,2023-06-20,4.0
14,281,2023-07-12,2.0
14,446,2023-07-16,1.0
14,363,2023-07-08,2.0
15,471,2023-07-02,
15,118,2023-07-28,
15,484,2023-07-23,5.0
15,443,2023-07-04,1.0
15,435,2023-07-10,5.0
15,462,2023-07-13,
15,11,2023-06-22,4.0
15,112,2023-06-28,
15,458,2023-06-26,5.0
15,107,2023-06-29,5.0
15,299,2023-07-25,4.0
15,360,2023-07-24,3.0
15,483,2023-06-18,3.0
15,55,2023-06-22,5.0
15,398,2023-06-29,5.0
15,280,2023-07-14,4.0
15,412,2023-07-07,5.0
15,88,2023-07-16,5.0
15,122,2023-07-15,
15,102,2023-07-02,
15,12,2023-07-13,4.0
15,47,2023-07-14,2.0
15,196,2023-07-08,5.0
15,498,2023-07-25,
15,317,2023-07-26,5.0
15,61,2023-06-27,5.0
15,14,2023-07-21,5.0
15,379,2023-07-05,4.0
15,417,2023-07-08,5.0
15,136,2023-06-23,5.0
15,405,2023-07-03,4.0
15,22,2023-07-22,2.0
15,425,2023-08-01,1.0
15,519,2023-06-25,5.0
15,148,2023-07-01,5.0
15,285,2023-06-19,2.0
15,311,2023-07-04,5.0
15,274,2023-07-15,
15,399,2023-07-26,3.0
15,470,2023-06-19,4.0
15,434,2023-07-16,5.0
16,285,2023-07-10,
16,411,2023-07-20,5.0
16,299,2023-07-22,3.0
16,289,2023-07-18,5.0
16,464,2023-06-20,
16,406,2023-06-28,
16,180,2023-07-22,2.0
16,435,2023-06-26,
16,17,2023-06-29,5.0
16,51,2023-06-27,4.0
16,494,2023-07-14,5.0
16,235,2023-07-05,5.0
16,113,2023-06-26,5.0
16,63,2023-07-26,1.0
16,108,2023-07-01,3.0
16,48,2023-07-28,
16,363,2023-06-26,2.0
16,53,2023-07-03,4.0
16,54,2023-07-14,
16,491,2023-06-21,2.0
16,381,2023-06-28,2.0
16,184,2023-08-04,
16,141,2023-07-30,5.0
16,455,2023-08-04,5.0
16,505,2023-07-05,4.0
16,498,2023-08-03,5.0
16,40,2023-07-06,5.0
16,71,2023-06-24,5.0
16,426,2023-07-30,3.0
16,495,2023-07-20,1.0
16,396,2023-07-22,5.0
16,189,2023-06-27,4.0
16,36,2023-07-05,
16,257,2023-07-30,2.0
16,415,2023-06-24,5.0
16,44,2023-07-18,5.0
16,221,2023-07-03,5.0
16,123,2023-06-22,
16,313,2023-07-20,
16,410,2023-06-23,5.0
16,372,2023-07-02,4.0
16,156,2023-06-25,5.0
16,76,2023-07-23,
16,421,2023-07-06,
16,252,2023-06-21,
16,305,2023-07-21,
16,517,2023-07-28,5.0
16,508,2023-06-27,
16,125,2023-06-27,5.0
17,8,2023-07-01,5.0
17,320,2023-07-08,4.0
17,370,2023-07-02,5.0
17,407,2023-07-12,5.0
17,47,2023-06-27,5.0
17,428,2023-06-26,1.0
17,109,2023-07-04,4.0
17,359,2023-06-24,5.0
17,79,2023-08-03,
17,294,2023-06-30,4.0
17,123,2023-07-29,
17,384,2023-07-19,
17,111,2023-07-01,5.0
17,280,2023-08-04,5.0
17,335,2023-07-20,4.0
17,398,2023-07-08,2.0
17,442,2023-07-04,5.0
17,1,2023-06-27,5.0
17,456,2023-07-10,2.0
17,67,2023-06-29,5.0
17,206,2023-06-25,4.0
17,50,2023-07-31,
17,505,2023-06-21,5.0
17,175,2023-08-04,3.0
17,340,2023-07-27,5.0
17,436,2023-07-31,3.0
17,157,2023-08-02,4.0
17,276,2023-08-04,2.0
17,377,2023-07-06,5.0
17,247,2023-07-29,5.0
17,380,2023-07-16,5.0
17,307,2023-07-27,5.0
17,205,2023-08-01,3.0
17,268,2023-07-09,
17,341,2023-07-18,2.0
17,170,2023-08-05,2.0
17,298,2023-08-04,
17,264,2023-06-24,2.0
17,145,2023-07-26,5.0
17,195,2023-06-24,
17,352,2023-07-14,
17,303,2023-07-07,2.0
17,3,2023-07-23,4.0
18,434,2023-07-19,5.0
18,285,2023-06-30,5.0
18,494,2023-06-26,5.0
18,265,2023-08-05,5.0
18,505,2023-08-04,4.0
18,76,2023-06-28,4.0
18,202,2023-06-29,4.0
18,160,2023-06-28,5.0
18,335,2023-07-22,4.0
18,277,2023-07-13,3.0
18,91,2023-07-31,5.0
18,454,2023-07-12,5.0
18,14,2023-07-05,5.0
18,226,2023-07-26,4.0
18,182,2023-07-07,5.0
18,321,2023-07-24,1.0
18,225,2023-06-28,5.0
18,289,2023-07-16,5.0
18,107,2023-07-09,5.0
18,357,2023-07-29,
18,363,2023-07-17,5.0
18,271,2023-07-03,
18,214,2023-07-20,5.0
18,20,2023-07-16,5.0
18,449,2023-07-14,3.0
18,312,2023-08-04,5.0
18,83,2023-07-30,
18,124,2023-07-22,5.0
18,39,2023-07-15,5.0
18,125,2023-07-14,2.0
18,38,2023-07-11,5.0
18,253,2023-06-23,
18,208,2023-07-18,5.0
18,323,2023-06-22,
18,263,2023-07-31,5.0
19,113,2023-06-27,5.0
19,289,2023-07-29,4.0
19,300,2023-07-30,
19,373,2023-07-18,5.0
19,458,2023-06-27,5.0
19,274,2023-06-26,5.0
19,412,2023-07-31,5.0
19,473,2023-08-01,5.0
19,358,2023-07-06,5.0
19,172,2023-08-05,
19,107,2023-07-13,4.0
19,396,2023-08-02,2.0
19,416,2023-07-30,3.0
19,347,2023-07-18,4.0
19,454,2023-06-23,
19,229,2023-06-28,2.0
19,434,2023-08-05,5.0
19,54,2023-07-10,5.0
19,136,2023-07-03,
19,123,2023-07-22,4.0
19,252,2023-06-27,5.0
19,248,2023-07-16,5.0
19,102,2023-07-25,
19,441,2023-06-24,3.0
19,439,2023-07-21,
19,97,2023-07-13,3.0
19,23,2023-07-07,5.0
19,338,2023-07-18,5.0
19,530,2023-06-25,5.0
19,288,2023-06-24,3.0
19,312,2023-07-26,
19,6,2023-06-30,3.0
19,517,2023-07-20,5.0
19,224,2023-06-26,3.0
19,443,2023-07-05,5.0
19,211,2023-06-30,2.0
19,155,2023-06-24,
19,370,2023-07-16,5.0
19,327,2023-06-29,4.0
19,420,2023-07-03,5.0
19,306,2023-07-24,1.0
19,283,2023-07-25,5.0
19,26,2023-07-09,5.0
19,462,2023-08-06,1.0
19,63,2023-07-07,5.0
19,119,2023-07-22,
19,331,2023-07-11,3.0
19,100,2023-06-29,3.0
20,371,2023-08-06,
20,125,2023-07-23,5.0
20,305,2023-08-08,5.0
20,309,2023-07-22,4.0
20,127,2023-06-26,5.0
20,290,2023-08-04,5.0
20,156,2023-07-18,5.0
20,453,2023-06-27,
20,220,2023-07-01,3.0
20,83,2023-08-05,4.0
20,52,2023-07-17,
20,277,2023-07-20,2.0
20,106,2023-07-30,3.0
20,364,2023-08-01,
20,41,2023-07-20,5.0
20,97,2023-07-23,4.0
20,317,2023-07-07,
20,432,2023-08-04,5.0
20,401,2023-07-23,4.0
20,263,2023-07-17,
20,254,2023-06-25,2.0
20,49,2023-07-14,5.0
20,313,2023-06-24,
20,287,2023-07-01,
20,232,2023-07-21,3.0
20,195,2023-07-22,
20,274,2023-08-05,
20,358,2023-07-10,
20,430,2023-07-29,
20,500,2023-07-22,3.0
20,377,2023-06-30,5.0
20,288,2023-07-23,4.0
20,88,2023-07-14,
20,20,2023-07-28,
20,207,2023-07-31,4.0
20,326,2023-07-14,
20,325,2023-06-29,
20,17,2023-06-29,1.0
20,247,2023-07-30,2.0
20,39,2023-07-14,
20,493,2023-07-06,
20,344,2023-07-30,2.0
20,399,2023-07-23,5.0
20,321,2023-07-05,
21,241,2023-07-17,3.0
21,317,2023-08-03,5.0
21,186,2023-06-29,2.0
21,196,2023-07-28,1.0
21,150,2023-07-11,5.0
21,136,2023-07-23,4.0
21,409,2023-06-25,
21,360,2023-07-16,5.0
21,108,2023-07-03,4.0
21,279,2023-08-02,
21,380,2023-07-31,3.0
21,281,2023-07-28,5.0
21,330,2023-07-18,3.0
21,393,2023-07-20,4.0
21,268,2023-07-20,5.0
21,114,2023-06-28,2.0
21,344,2023-07-03,5.0
21,214,2023-08-07,1.0
21,219,2023-07-21,3.0
21,59,2023-07-17,3.0
21,519,2023-07-12,
21,194,2023-07-08,2.0
21,458,2023-08-06,5.0
21,536,2023-07-23,
21,523,2023-07-20,2.0
21,293,2023-07-22,
21,31,2023-07-30,
21,320,2023-06-26,3.0
21,394,2023-07-19,5.0
21,353,2023-06-28,3.0
21,131,2023-07-08,5.0
21,224,2023-06-28,
22,341,2023-07-26,5.0
22,169,2023-07-15,
22,466,2023-08-02,
22,132,2023-06-30,2.0
22,149,2023-08-10,4.0
22,97,2023-08-01,2.0
22,42,2023-07-28,5.0
22,98,2023-08-09,
22,453,2023-07-09,5.0
22,106,2023-06-30,3.0
22,514,2023-07-17,4.0
22,435,2023-07-05,5.0
22,238,2023-06-30,5.0
22,153,2023-07-11,5.0
22,508,2023-08-04,
22,468,2023-07-03,4.0
22,225,2023-07-07,4.0
22,313,2023-08-05,2.0
22,445,2023-07-24,4.0
22,513,2023-07-22,5.0
22,285,2023-07-16,3.0
22,237,2023-07-22,2.0
22,92,2023-07-25,5.0
22,166,2023-08-04,5.0
22,16,2023-07-30,2.0
22,349,2023-08-10,5.0
22,298,2023-07-10,2.0
22,306,2023-07-10,3.0
22,95,2023-07-13,
22,207,2023-07-30,4.0
22,486,2023-07-22,5.0
22,309,2023-07-14,5.0
22,287,2023-07-25,5.0
23,142,2023-07-20,1.0
23,473,2023-08-07,
23,350,2023-07-14,1.0
23,245,2023-07-25,5.0
23,65,2023-07-24,5.0
23,491,2023-07-06,
23,388,2023-07-07,5.0
23,455,2023-07-24,
23,286,2023-07-11,
23,211,2023-07-09,5.0
23,42,2023-07-19,5.0
23,298,2023-07-13,
23,281,2023-08-11,3.0
23,143,2023-07-22,
23,490,2023-07-27,
23,505,2023-08-07,2.0
23,59,2023-07-17,5.0
23,354,2023-07-07,5.0
23,217,2023-07-05,
23,279,2023-07-16,
23,332,2023-06-30,
23,51,2023-08-04,2.0
23,283,2023-07-18,3.0
23,3,2023-07-20,
23,531,2023-06-28,5.0
23,330,2023-08-08,1.0
23,410,2023-07-05,
23,44,2023-07-01,
23,155,2023-07-18,
23,377,2023-07-17,2.0
23,394,2023-07-11,
23,382,2023-08-06,1.0
23,420,2023-08-04,2.0
23,2,2023-07-03,2.0
23,11,2023-07-23,4.0
23,512,2023-07-30,
23,468,2023-06-30,5.0
23,457,2023-08-05,4.0
23,510,2023-08-01,4.0
23,387,2023-07-12,4.0
23,395,2023-08-07,
23,399,2023-08-05,2.0
24,150,2023-07-16,4.0
24,179,2023-06-30,4.0
24,283,2023-07-19,5.0
24,78,2023-07-30,2.0
24,517,2023-08-08,4.0
24,345,2023-08-11,4.0
24,13,2023-07-08,
24,235,2023-07-30,
24,218,2023-07-10,5.0
24,536,2023-07-10,
24,181,2023-08-09,
24,41,2023-08-08,2.0
24,457,2023-07-03,
24,290,2023-07-23,5.0
24,195,2023-07-21,5.0
24,351,2023-08-10,
24,108,2023-07-16,
24,72,2023-07-05,1.0
